epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,1466.35,0.75326,0.59741,0.00514,0.8818,0.80654,0.88597,0.75292,0.59619,0.79314,0.00657,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
68,1487.68,0.67659,0.57746,0.00446,0.89424,0.77027,0.87519,0.74845,0.6073,0.83454,0.00675,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734
69,1508.72,0.67863,0.64847,0.00459,0.91785,0.7549,0.87437,0.75094,0.5772,0.80685,0.00632,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
70,1529.66,0.76,0.65793,0.00496,0.86331,0.7682,0.87484,0.75098,0.58541,0.81722,0.00644,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338
71,1550.71,0.73161,0.65388,0.00513,0.89183,0.77998,0.87798,0.74883,0.59611,0.81387,0.00676,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
72,1571.81,0.65075,0.58333,0.0049,0.88253,0.78378,0.88901,0.76573,0.58184,0.7545,0.00636,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942
73,1592.61,0.65361,0.58656,0.00412,0.93606,0.75676,0.89357,0.76468,0.60296,0.75427,0.00679,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
74,1614.89,0.70768,0.6325,0.00468,0.88129,0.8026,0.89447,0.76716,0.5765,0.74682,0.00628,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546
75,1637.06,0.71692,0.60558,0.00469,0.857,0.72889,0.86688,0.74509,0.57151,0.82337,0.00628,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
76,1659.31,0.6763,0.6004,0.00453,0.87024,0.72508,0.85938,0.7295,0.5915,0.87165,0.00662,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
77,1681.79,0.70546,0.61404,0.00463,0.77189,0.83784,0.85782,0.73765,0.58015,0.83818,0.00653,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
78,1706.13,0.65679,0.57385,0.00438,0.80743,0.81081,0.84947,0.72809,0.57795,0.83906,0.00646,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754
79,1729.33,0.74287,0.6447,0.00471,0.86885,0.75676,0.86752,0.7462,0.59843,0.81868,0.00682,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
80,1752.11,0.69868,0.61473,0.00451,0.81325,0.82432,0.87237,0.75323,0.59002,0.81775,0.00664,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358
81,1774.97,0.68566,0.5519,0.00454,0.82661,0.83754,0.8497,0.73613,0.59503,0.82198,0.00692,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
82,1797.61,0.66299,0.59077,0.00465,0.85198,0.82432,0.83082,0.72408,0.59731,0.83004,0.00666,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962
83,1819.87,0.65578,0.59109,0.00405,0.81865,0.81081,0.86036,0.75159,0.58278,0.82478,0.00656,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
84,1842.97,0.68139,0.58171,0.00431,0.83147,0.82432,0.8759,0.76218,0.57494,0.8072,0.0063,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566
85,1865.1,0.67352,0.58329,0.00445,0.83333,0.74322,0.87167,0.76526,0.56727,0.8437,0.00634,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
86,1887.1,0.62841,0.58534,0.00428,0.80283,0.81081,0.851,0.74224,0.58328,0.81361,0.00665,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
87,1909.53,0.69082,0.58973,0.00433,0.81569,0.83784,0.81172,0.70514,0.56582,0.85009,0.00633,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
88,1931.39,0.67942,0.64664,0.00428,0.81386,0.83784,0.83218,0.72547,0.56071,0.83087,0.00624,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774
89,1954.24,0.71418,0.57527,0.00419,0.82894,0.78586,0.84516,0.7334,0.55695,0.80745,0.00619,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
90,1977.25,0.65942,0.55331,0.00453,0.86635,0.75676,0.86748,0.7543,0.55665,0.76989,0.00609,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378
91,1999.32,0.60687,0.49328,0.00406,0.80154,0.83784,0.89654,0.76996,0.5717,0.72806,0.00615,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
92,2021.36,0.6369,0.52639,0.00413,0.78358,0.83182,0.87839,0.75566,0.55975,0.70982,0.00616,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982
93,2042.7,0.64307,0.48471,0.00454,0.75488,0.83784,0.87249,0.76043,0.54758,0.72331,0.00591,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
94,2064.94,0.604,0.46018,0.00411,0.76227,0.82432,0.88197,0.76121,0.56496,0.73727,0.00611,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586
95,2086.4,0.60156,0.47609,0.00398,0.79979,0.80977,0.88129,0.7539,0.56635,0.73798,0.00612,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
96,2107.89,0.6264,0.50829,0.00416,0.78662,0.78378,0.88357,0.76058,0.55422,0.74663,0.00591,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
97,2129.29,0.59497,0.46271,0.00409,0.78489,0.78898,0.88582,0.76546,0.5502,0.76128,0.00593,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
98,2150.61,0.61856,0.45717,0.0043,0.78295,0.78378,0.88123,0.7589,0.54412,0.778,0.00579,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05
99,2171.61,0.64416,0.44618,0.0043,0.77407,0.78378,0.87976,0.75448,0.55527,0.77481,0.00595,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
100,2193.5,0.65094,0.44856,0.00423,0.76635,0.79783,0.87434,0.74846,0.5615,0.79025,0.00604,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05
