epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
95,79.0005,0.81042,1.00106,0.91598,0.98571,1,0.995,0.61373,1.42959,0.94944,1.17514,0.00305205,0.00101735,0.00305205,0.00101735,0.00305205,0.00101735,0.00305205,0.00101735
96,79.7868,0.85227,1.05704,0.9523,0.98531,1,0.995,0.61597,1.44496,0.96764,1.18115,0.00304463,0.00101488,0.00304463,0.00101488,0.00304463,0.00101488,0.00304463,0.00101488
97,80.6124,0.86333,1.0222,0.94632,0.98452,1,0.995,0.60304,1.44969,0.95583,1.18492,0.0030372,0.0010124,0.0030372,0.0010124,0.0030372,0.0010124,0.0030372,0.0010124
98,81.39,0.83036,0.95279,0.94982,0.9856,1,0.995,0.61447,1.43523,0.95219,1.17708,0.00302978,0.00100993,0.00302978,0.00100993,0.00302978,0.00100993,0.00302978,0.00100993
99,82.2142,0.87199,1.00524,0.93418,0.98954,0.99756,0.995,0.60199,1.46002,0.9453,1.20378,0.00302235,0.00100745,0.00302235,0.00100745,0.00302235,0.00100745,0.00302235,0.00100745
100,83.0309,0.79814,0.92223,0.90911,0.9908,1,0.995,0.60963,1.43656,0.93929,1.20066,0.00301492,0.00100497,0.00301492,0.00100497,0.00301492,0.00100497,0.00301492,0.00100497
101,83.81,0.82621,0.95781,0.93979,0.99061,1,0.995,0.60662,1.43191,0.91973,1.19936,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025
102,84.6313,0.78629,0.95574,0.92932,0.99044,1,0.995,0.57446,1.42328,0.95123,1.18961,0.00300008,0.00100003,0.00300008,0.00100003,0.00300008,0.00100003,0.00300008,0.00100003
103,85.4504,0.70373,0.91824,0.89851,0.98772,1,0.995,0.58077,1.40585,0.93859,1.18345,0.00299265,0.00099755,0.00299265,0.00099755,0.00299265,0.00099755,0.00299265,0.00099755
104,86.2263,0.80441,0.97792,0.90861,0.98699,1,0.995,0.57898,1.41289,0.93474,1.18631,0.00298522,0.000995075,0.00298522,0.000995075,0.00298522,0.000995075,0.00298522,0.000995075
105,87.0458,0.86656,0.99175,0.94856,0.98468,1,0.995,0.57589,1.4689,0.96281,1.20528,0.0029778,0.0009926,0.0029778,0.0009926,0.0029778,0.0009926,0.0029778,0.0009926
106,87.8248,0.80627,0.94611,0.92303,0.98397,0.99906,0.995,0.57058,1.45018,0.96963,1.19369,0.00297037,0.000990125,0.00297037,0.000990125,0.00297037,0.000990125,0.00297037,0.000990125
107,88.647,0.80122,0.9563,0.93196,0.97862,0.99691,0.995,0.56508,1.40462,0.93893,1.16917,0.00296295,0.00098765,0.00296295,0.00098765,0.00296295,0.00098765,0.00296295,0.00098765
108,89.4638,0.77971,0.94774,0.90074,0.97582,0.99576,0.995,0.58751,1.40904,0.90883,1.17943,0.00295553,0.000985175,0.00295553,0.000985175,0.00295553,0.000985175,0.00295553,0.000985175
109,90.2333,0.74344,0.96053,0.88955,0.9727,0.99523,0.995,0.58209,1.38823,0.90175,1.1682,0.0029481,0.0009827,0.0029481,0.0009827,0.0029481,0.0009827,0.0029481,0.0009827
110,91.0532,0.79405,1.01715,0.91742,0.97,0.99555,0.995,0.58421,1.39609,0.88295,1.16241,0.00294067,0.000980225,0.00294067,0.000980225,0.00294067,0.000980225,0.00294067,0.000980225
111,91.8734,0.72757,0.93129,0.90886,0.96659,0.99454,0.995,0.61164,1.37709,0.85831,1.1459,0.00293325,0.00097775,0.00293325,0.00097775,0.00293325,0.00097775,0.00293325,0.00097775
112,92.6451,0.77472,0.89721,0.92069,0.96648,0.99452,0.995,0.61161,1.35778,0.85077,1.14174,0.00292582,0.000975275,0.00292582,0.000975275,0.00292582,0.000975275,0.00292582,0.000975275
113,93.4613,0.81108,1.02256,0.93551,0.97414,0.99491,0.995,0.60484,1.38166,0.88782,1.161,0.0029184,0.0009728,0.0029184,0.0009728,0.0029184,0.0009728,0.0029184,0.0009728
114,94.2315,0.78939,0.95348,0.90895,0.97761,0.99538,0.995,0.6138,1.39475,0.8915,1.17672,0.00291098,0.000970325,0.00291098,0.000970325,0.00291098,0.000970325,0.00291098,0.000970325
115,95.046,0.78141,0.90527,0.89554,0.98278,0.99608,0.995,0.61484,1.36807,0.88384,1.16037,0.00290355,0.00096785,0.00290355,0.00096785,0.00290355,0.00096785,0.00290355,0.00096785
116,95.8638,0.7849,0.90888,0.88457,0.98,0.99486,0.995,0.61288,1.4099,0.91685,1.18757,0.00289612,0.000965375,0.00289612,0.000965375,0.00289612,0.000965375,0.00289612,0.000965375
117,96.6394,0.7249,0.88108,0.91107,0.97741,0.99495,0.995,0.60293,1.41525,0.8983,1.18824,0.0028887,0.0009629,0.0028887,0.0009629,0.0028887,0.0009629,0.0028887,0.0009629
118,97.46,0.71758,0.92089,0.89076,0.97688,0.99527,0.995,0.60545,1.3911,0.90189,1.17977,0.00288127,0.000960425,0.00288127,0.000960425,0.00288127,0.000960425,0.00288127,0.000960425
119,98.275,0.74978,0.91523,0.91094,0.97225,0.99486,0.995,0.60933,1.38551,0.88063,1.18256,0.00287385,0.00095795,0.00287385,0.00095795,0.00287385,0.00095795,0.00287385,0.00095795
120,99.0479,0.7219,0.87835,0.90076,0.96829,0.99467,0.995,0.6121,1.39657,0.88506,1.18652,0.00286643,0.000955475,0.00286643,0.000955475,0.00286643,0.000955475,0.00286643,0.000955475
121,99.8637,0.71749,0.88102,0.89816,0.96318,0.99459,0.995,0.61118,1.40132,0.88581,1.18792,0.002859,0.000953,0.002859,0.000953,0.002859,0.000953,0.002859,0.000953
122,100.632,0.79902,0.95365,0.92545,0.96211,0.99441,0.995,0.61956,1.40469,0.8983,1.19009,0.00285157,0.000950525,0.00285157,0.000950525,0.00285157,0.000950525,0.00285157,0.000950525
123,101.449,0.779,0.89774,0.89898,0.9597,0.99544,0.995,0.60162,1.39162,0.89347,1.18242,0.00284415,0.00094805,0.00284415,0.00094805,0.00284415,0.00094805,0.00284415,0.00094805
124,102.272,0.81152,0.90945,0.92862,0.96117,0.99419,0.995,0.59875,1.37834,0.92566,1.18349,0.00283673,0.000945575,0.00283673,0.000945575,0.00283673,0.000945575,0.00283673,0.000945575
125,103.049,0.69652,0.92846,0.89782,0.96187,0.99418,0.995,0.5964,1.36948,0.92622,1.18441,0.0028293,0.0009431,0.0028293,0.0009431,0.0028293,0.0009431,0.0028293,0.0009431
126,103.877,0.70118,0.80489,0.8723,0.96376,0.99413,0.995,0.58556,1.36541,0.94014,1.18531,0.00282187,0.000940625,0.00282187,0.000940625,0.00282187,0.000940625,0.00282187,0.000940625
127,104.7,0.70118,0.83877,0.89759,0.96467,0.99536,0.995,0.59391,1.39643,0.94822,1.18835,0.00281445,0.00093815,0.00281445,0.00093815,0.00281445,0.00093815,0.00281445,0.00093815
128,105.487,0.76375,0.90887,0.91695,0.98171,0.91667,0.97833,0.58077,1.39745,0.95967,1.19202,0.00280702,0.000935675,0.00280702,0.000935675,0.00280702,0.000935675,0.00280702,0.000935675
129,106.315,0.71003,0.84032,0.89759,0.96845,0.99543,0.995,0.58415,1.4377,0.94052,1.20504,0.0027996,0.0009332,0.0027996,0.0009332,0.0027996,0.0009332,0.0027996,0.0009332
130,107.091,0.7406,0.93327,0.92131,0.97127,0.99559,0.995,0.57695,1.45064,0.9215,1.20543,0.00279218,0.000930725,0.00279218,0.000930725,0.00279218,0.000930725,0.00279218,0.000930725
