epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
81,51.5361,0.73995,1.07407,0.94204,0.82108,0.80303,0.75568,0.38427,2.01684,1.18008,2.3698,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232
82,52.1282,0.65606,0.97249,0.88868,0.82083,0.80303,0.75615,0.38696,2.00928,1.15975,2.35515,0.000849255,0.000283085,0.000849255,0.000283085,0.000849255,0.000283085,0.000849255,0.000283085
83,52.7678,0.73617,1.0335,0.93489,0.82,0.80303,0.76185,0.37793,2.03132,1.13063,2.39647,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938
84,53.4486,0.72419,1.03932,0.93913,0.82081,0.80303,0.76185,0.37836,2.0349,1.13778,2.39584,0.000764372,0.000254791,0.000764372,0.000254791,0.000764372,0.000254791,0.000764372,0.000254791
85,54.0393,0.67126,0.97779,0.89499,0.82097,0.80303,0.75615,0.37231,2.04654,1.14781,2.41055,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644
86,54.6293,0.7499,1.09243,0.97866,0.78668,0.77273,0.70182,0.36384,2.05004,1.15772,2.42,0.00067949,0.000226497,0.00067949,0.000226497,0.00067949,0.000226497,0.00067949,0.000226497
87,55.2205,0.72914,1.01319,0.9268,0.78684,0.77273,0.70507,0.36449,2.05793,1.14871,2.43914,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349
88,55.8111,0.66359,1.12987,0.90219,0.78649,0.77273,0.71214,0.36759,2.06083,1.14235,2.43954,0.000594607,0.000198202,0.000594607,0.000198202,0.000594607,0.000198202,0.000594607,0.000198202
89,56.4017,0.68787,0.9713,0.92728,0.78619,0.77273,0.70775,0.36495,2.06877,1.14856,2.45791,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055
90,56.9919,0.70831,0.95191,0.90174,0.78573,0.77273,0.70775,0.36411,2.07167,1.1432,2.47046,0.000509724,0.000169908,0.000509724,0.000169908,0.000509724,0.000169908,0.000509724,0.000169908
91,58.4482,0.72205,1.2563,0.92089,0.81835,0.80303,0.76897,0.37357,2.0871,1.1833,2.49896,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761
92,59.0451,0.72229,1.27572,0.91697,0.97754,0.9697,0.9925,0.38947,2.08973,1.20987,2.50549,0.000424842,0.000141614,0.000424842,0.000141614,0.000424842,0.000141614,0.000424842,0.000141614
93,59.6452,0.61919,1.24922,0.86983,0.97792,0.9697,0.9925,0.38191,2.09537,1.14304,2.57179,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467
94,60.2437,0.74112,1.28115,0.92671,0.97771,0.9697,0.99038,0.38132,2.10932,1.15689,2.59026,0.000339959,0.00011332,0.000339959,0.00011332,0.000339959,0.00011332,0.000339959,0.00011332
95,60.9488,0.66234,1.22315,0.87247,0.97746,0.9697,0.98857,0.38254,2.10176,1.18839,2.58812,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05
96,61.5447,0.69184,1.22099,0.88882,0.97795,0.9697,0.98857,0.38522,2.10609,1.28246,2.54737,0.000255077,8.50255e-05,0.000255077,8.50255e-05,0.000255077,8.50255e-05,0.000255077,8.50255e-05
97,62.1347,0.68074,1.23452,0.89018,0.97766,0.9697,0.98857,0.38978,2.1022,1.25049,2.53586,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05
98,62.7269,0.7121,1.20193,0.92032,0.97746,0.9697,0.9925,0.39016,2.10709,1.25102,2.54077,0.000170194,5.67313e-05,0.000170194,5.67313e-05,0.000170194,5.67313e-05,0.000170194,5.67313e-05
99,63.3625,0.7103,1.26822,0.90649,0.97722,0.9697,0.9925,0.39088,2.07598,1.26221,2.48003,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05
100,63.9515,0.63741,1.20858,0.88882,0.97745,0.9697,0.9925,0.39445,2.09911,1.2474,2.53129,8.53113e-05,2.84371e-05,8.53113e-05,2.84371e-05,8.53113e-05,2.84371e-05,8.53113e-05,2.84371e-05
